date,year,team,side,position,jersey,player
2019-09-05,2019,Chicago Bears,Defense,CB,20,P.Amukamara

2018-09-09,2018,Chicago Bears,Offense,TE,88,D.Sims
2018-09-09,2018,Chicago Bears,Offense,TE,80,T.Burton
2018-09-09,2018,Chicago Bears,Offense,RT,70,B.Massie
2018-09-09,2018,Chicago Bears,Offense,RG,75,K.Long
2018-09-09,2018,Chicago Bears,Offense,C,65,C.Whitehair
2018-09-09,2018,Chicago Bears,Offense,LG,64,E.Kush
2018-09-09,2018,Chicago Bears,Offense,LT,72,C.Leno Jr
2018-09-09,2018,Chicago Bears,Offense,QB,10,M.Trubisky
2018-09-09,2018,Chicago Bears,Offense,RB,24,J.Howard
2018-09-09,2018,Chicago Bears,Offense,RB,29,T.Cohen
2018-09-09,2018,Chicago Bears,Offense,FB,46,M.Burton
2018-09-09,2018,Chicago Bears,Defense,DT,96,A.Hicks
2018-09-09,2018,Chicago Bears,Defense,NT,91,E.Goldman
2018-09-09,2018,Chicago Bears,Defense,OLB,99,A.Lynch
2018-09-09,2018,Chicago Bears,Defense,ILB,59,D.Trevathan
2018-09-09,2018,Chicago Bears,Defense,ILB,44,N.Kwiatkoski
2018-09-09,2018,Chicago Bears,Defense,OLB,94,L.Floyd
2018-09-09,2018,Chicago Bears,Defense,CB,23,K.Fuller
2018-09-09,2018,Chicago Bears,Defense,S,39,E.Jackson
2018-09-09,2018,Chicago Bears,Defense,S,38,A.Amos
2018-09-09,2018,Chicago Bears,Defense,CB,20,P.Amukamara
2018-09-09,2018,Chicago Bears,Defense,CB,37,B.Callahan

2017-09-10,2017,Chicago Bears,Offense,WR,14,D.Thompson
2017-09-10,2017,Chicago Bears,Offense,TE,88,D.Sims
2017-09-10,2017,Chicago Bears,Offense,RT,70,B.Massie
2017-09-10,2017,Chicago Bears,Offense,RG,71,J.Sitton
2017-09-10,2017,Chicago Bears,Offense,C,65,C.Whitehair
2017-09-10,2017,Chicago Bears,Offense,LG,76,T.Compton
2017-09-10,2017,Chicago Bears,Offense,LT,72,C.Leno
2017-09-10,2017,Chicago Bears,Offense,QB,8,M.Glennon
2017-09-10,2017,Chicago Bears,Offense,RB,24,Jo.Howard
2017-09-10,2017,Chicago Bears,Offense,WR,11,K.White
2017-09-10,2017,Chicago Bears,Offense,TE,86,Z.Miller
2017-09-10,2017,Chicago Bears,Defense,DE,96,A.Hicks
2017-09-10,2017,Chicago Bears,Defense,NT,91,E.Goldman
2017-09-10,2017,Chicago Bears,Defense,OLB,97,W.Young
2017-09-10,2017,Chicago Bears,Defense,ILB,50,J.Freeman
2017-09-10,2017,Chicago Bears,Defense,ILB,59,D.Trevathan
2017-09-10,2017,Chicago Bears,Defense,OLB,94,L.Floyd
2017-09-10,2017,Chicago Bears,Defense,CB,37,B.Callahan
2017-09-10,2017,Chicago Bears,Defense,S,21,Q.Demps
2017-09-10,2017,Chicago Bears,Defense,S,39,E.Jackson
2017-09-10,2017,Chicago Bears,Defense,CB,31,M.Cooper
2017-09-10,2017,Chicago Bears,Defense,CB,23,K.Fuller

2016-09-11,2016,Chicago Bears,Offense,WR,17,A.Jeffery
2016-09-11,2016,Chicago Bears,Offense,TE,82,L.Paulsen
2016-09-11,2016,Chicago Bears,Offense,RT,70,B.Massie
2016-09-11,2016,Chicago Bears,Offense,RG,75,K.Long
2016-09-11,2016,Chicago Bears,Offense,C,65,C.Whitehair
2016-09-11,2016,Chicago Bears,Offense,LG,71,J.Sitton
2016-09-11,2016,Chicago Bears,Offense,LT,72,C.Leno
2016-09-11,2016,Chicago Bears,Offense,QB,6,J.Cutler
2016-09-11,2016,Chicago Bears,Offense,RB,33,J.Langford
2016-09-11,2016,Chicago Bears,Offense,WR,13,K.White
2016-09-11,2016,Chicago Bears,Offense,FB,47,P.Lasike
2016-09-11,2016,Chicago Bears,Defense,DE,96,A.Hicks
2016-09-11,2016,Chicago Bears,Defense,NT,91,E.Goldman
2016-09-11,2016,Chicago Bears,Defense,CB,37,B.Callahan
2016-09-11,2016,Chicago Bears,Defense,OLB,94,L.Floyd
2016-09-11,2016,Chicago Bears,Defense,ILB,50,J.Freeman
2016-09-11,2016,Chicago Bears,Defense,ILB,59,D.Trevathan
2016-09-11,2016,Chicago Bears,Defense,OLB,97,W.Young
2016-09-11,2016,Chicago Bears,Defense,CB,21,T.Porter
2016-09-11,2016,Chicago Bears,Defense,S,29,H.Jones-Quartey
2016-09-11,2016,Chicago Bears,Defense,S,38,A.Amos
2016-09-11,2016,Chicago Bears,Defense,CB,39,J.Glenn

2015-09-13,2015,Chicago Bears,Offense,WR,19,E.Royal
2015-09-13,2015,Chicago Bears,Offense,TE,83,M.Bennett
2015-09-13,2015,Chicago Bears,Offense,RT,75,K.Long
2015-09-13,2015,Chicago Bears,Offense,RG,62,V.Ducasse
2015-09-13,2015,Chicago Bears,Offense,C,64,W.Montgomery
2015-09-13,2015,Chicago Bears,Offense,LG,68,M.Slauson
2015-09-13,2015,Chicago Bears,Offense,LT,74,J.Bushrod
2015-09-13,2015,Chicago Bears,Offense,QB,6,J.Cutler
2015-09-13,2015,Chicago Bears,Offense,RB,22,M.Forte
2015-09-13,2015,Chicago Bears,Offense,TE,82,K.Lee
2015-09-13,2015,Chicago Bears,Offense,TE,86,Z.Miller
2015-09-13,2015,Chicago Bears,Defense,NT,93,W.Sutton
2015-09-13,2015,Chicago Bears,Defense,DE,96,J.Jenkins
2015-09-13,2015,Chicago Bears,Defense,OLB,69,J.Allen
2015-09-13,2015,Chicago Bears,Defense,ILB,50,S.McClellin
2015-09-13,2015,Chicago Bears,Defense,ILB,59,C.Jones
2015-09-13,2015,Chicago Bears,Defense,OLB,92,P.McPhee
2015-09-13,2015,Chicago Bears,Defense,CB,24,A.Ball
2015-09-13,2015,Chicago Bears,Defense,NB,27,S.McManis
2015-09-13,2015,Chicago Bears,Defense,S,38,A.Amos
2015-09-13,2015,Chicago Bears,Defense,S,26,A.Rolle
2015-09-13,2015,Chicago Bears,Defense,CB,23,K.Fuller

date,year,team,side,position,jersey,player
2014-09-07,2014,Chicago Bears,Offense,WR,15,B.Marshall
2014-09-07,2014,Chicago Bears,Offense,LT,74,J.Bushrod
2014-09-07,2014,Chicago Bears,Offense,LG,68,M.Slauson
2014-09-07,2014,Chicago Bears,Offense,C,63,R.Garza
2014-09-07,2014,Chicago Bears,Offense,RG,75,K.Long
2014-09-07,2014,Chicago Bears,Offense,RT,67,J.Mills
2014-09-07,2014,Chicago Bears,Offense,WR,19,J.Morgan
